id_video,titulo,dt_publicacao,id_canal,canal,dt_trending,cont_views,likes,dislikes,cont_comentarios,descricao,categoria
whxd-jw0NtA,DESAFIO DA BOLA ALIENÍGENA! BRUXO X MAYCON...,2020-09-15 21:00:08+00:00,UCyTqiBJSKWYNSMVcbm__OVw,O mundo da Sinuca Videos,2020-09-21 00:00:00+00:00,239987,12686,230,314,"Salve Sinuqueiros! MAYCON X BAIANINHO , DESAFIO PRA MATAR A BOLADeixa um comentário aí em baixo e avalie e conteúdo! =============================================PARCEIROS:* @Papaguara* @MaxxiTacos * IAG Serviços Gráficos (11 2295-6856)* Tonhão Motos (81 3631.1691)=============================================Face/Insta: @omundodasinucaMeu Insta: @p.aulohenriqueContato: omundodasinuca@gmail.comGrato a Todos!",Entertainment
PkXIxJ9bVws,MC Paulin da Capital - Incrível (Áudio Oficial) DJ GM e DJ Thi Marquez,2021-04-27 21:00:18+00:00,UCHD-HavJ83eIGODju2KSfFw,MC Paulin Da Capital,2021-05-06 00:00:00+00:00,386904,27636,185,946,Canal Oficial #McPaulinDaCapitalSe inscreva no canal e ative o sino de notificação para não perder nenhum lançamento!Artista: MC Paulin da CapitalMúsica: IncrívelProdução: DJ GM e DJ Thi MarquezInstagram : @mcpaulindacapital Siga meu perfil no spotify e ouça todas minhas músicas: https://open.spotify.com/artist/592JnViQ2tot63c1SbtgK2?si=ivOH94RPQFWcRdUmW5DVTAContrate:011 971362436 (GUIGA)#Incrível,Music
62n2LWjMqiE,Highlights: Liverpool 2-1 Tottenham | Firmino wins it late at Anfield,2020-12-17 00:00:03+00:00,UC9LQwHZoucFT94I2h6JOcjw,Liverpool FC,2020-12-25 00:00:00+00:00,3908037,57129,2304,2571,"Watch the key events from Anfield, where Roberto Firmino's late header from Andy Robertson's corner, sealed all three points for LFC, and put Jürgen Klopp's men top of the Premier League.Enjoy more content and get exclusive perks in our Liverpool FC Members Area, click here to find out more: https://www.youtube.com/LiverpoolFC/joinSubscribe now to Liverpool FC on YouTube now and get notified when new videos land: https://www.youtube.com/subscription_center?add_user=LiverpoolFC",Sports
K9ehE0S1IwA,ESPECIAL DE NATAL BRASIL PARALELO | Episódio 1/3,2020-12-14 23:00:13+00:00,UCKDjjeeBmdaiicey2nImISw,Brasil Paralelo,2020-12-25 00:00:00+00:00,1015809,110613,1380,7599,Presenteie quem você ama com algo que vale para vida toda: o conhecimento.Faça sua assinatura por apenas R$10 mensais e ganhe outra para dar de presente: https://bit.ly/3gFrxnq,Education
Fcl30mWtJQU,Nexus War Launch Trailer for Fortnite Chapter 2 - Season 4,2020-08-27 06:00:10+00:00,UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,2020-09-01 00:00:00+00:00,10260557,369217,22909,42482,"Discover how the Heroes and Villains of Marvel ended up on the Island. Learn more: https://www.epicgames.com/fortnite/en-US/chapter-2-season-4The Lore, Legends, Heroes and Villains from @Marvel have arrived in Fortnite. Join the fight and take on Galactus to save all of Reality. Awaken the Hero and Villain within, board the Helicarrier and drop into #FortniteNexusWar now!Play Fortnite Battle Royale, the completely free 100-player PvP mode. One giant map, A Battle Bus, Last one standing wins. ESRB Rating: Teen with Violence.Follow FortniteInstagram: https://www.instagram.com/fortnite/Twitter: https://twitter.com/FortniteGameFacebook: https://www.facebook.com/FortniteGame/Follow MarvelInstagram: https://www.instagram.com/marvel/Twitter: https://twitter.com/Marvel/Facebook: https://www.facebook.com/Marvel/Learn More: https://www.epicgames.com/fortnite/home#FortniteSeason4 #NexusWar #FortniteMarvel #MarvelFortnite",Gaming
Ni_o0YPZsX4,10 MELHORES SÉRIES de 2020! 👍😍,2020-12-28 21:30:01+00:00,UCBFLqK7PAP9DQ3JpIrWFI7w,Pipocando,2021-01-07 00:00:00+00:00,466503,51840,466,1462,"A Philco lançou o HIT P10, o mais novo hit entre os smartphones para quem curte filmes e séries. Acesse o link e garanta o seu!https://bit.ly/33Xn9e9O ano brindou os fãs com encerramentos incríveis como “BoJack Horseman” e “Dark”, além de trazer novidades tipo “O Gambito da Rainha”. Chegou a hora de falar dessas e outras que foram as MELHORES SÉRIES DE 2020!------------------------------------------------------------------------------------Inscreva-se no canal: http://bit.ly/1T6Yve4Assista outras curiosidades: http://bit.ly/1e3e5r5Fanpage: https://www.facebook.com/pipocandooficial----------- ENCONTRE A GENTE POR AÍ ----------//ROLANDINHOhttp://twitter.com/rolandinhohttp://instagram.com/rolandinhobr//BRUNO BOCKhttp://twitter.com/brunobockhttp://instagram.com/brunobock",Entertainment
PohpFZZ-bMI,Billie Eilish: The World’s A Little Blurry - Live Premiere Event,2021-02-28 18:35:45+00:00,UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,2021-03-07 00:00:00+00:00,1858220,235376,1473,17625,"Watch the Live Premiere Event for Billie Eilish: The World’s A Little Blurry, a new Apple Original Film, featuring a conversation with Zane Lowe and a special performance. Watch the film exclusively on Apple TV+. https://apple.co/theworldsalittleblurryApple TV+ is available on the Apple TV app including iPhone, iPad, Apple TV, iPod touch, Mac, select Samsung, LG, Sony and VIZIO smart TVs, Amazon Fire TV and Roku devices, Chromecast with Google TV, PlayStation and Xbox consoles, and at tv.apple.com. Just look for the Apple TV app and if you don’t have it go the App Store on your device and download it. If you’ve bought an Apple device like an iPhone, iPad or MacBook recently, you have Apple TV Plus included already. The new Apple Original Film Billie Eilish: The World’s A Little Blurry” tells the true coming-of-age story of the singer-songwriter and her rise to global superstardom. From award-winning filmmaker R.J. Cutler, the film offers a deeply intimate look at this extraordinary teenager’s journey, at just seventeen years old, navigating life on the road, on stage, and at home with her family, while writing, recording and releasing her debut album “WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?”  The documentary is from Apple Original Films, in association with Interscope Films, Darkroom, This Machine and Lighthouse Management & Media. Directed by R.J. Cutler and starring Billie Eilish, Finneas O’Connell, Maggie Baird, and Patrick O’Connell as themselves.  Follow Billie Eilish: Instagram: https://www.instagram.com/billieeilish​ Facebook: https://www.facebook.com/billieeilish​ YouTube: https://www.youtube.com/BillieEilish​TikTok: https://www.tiktok.com/@billieeilishTwitter: https://twitter.com/billieeilish​ Email: http://smarturl.it/BillieEilishEmail​  Shop “The World’s A Little Blurry” collection: http://store.billieeilish.com   Follow Apple TV: Instagram: https://instagram.com/AppleTV​ Facebook: https://facebook.com/AppleTV​ Twitter: https://twitter.com/AppleTV​ Giphy: https://giphy.com/AppleTV​ More from Apple TV: https://apple.co/32qgOEJ​ Subscribe to Apple TV’s YouTube channel: https://apple.co/AppleTVYouTube​  Apple TV+ is a streaming service with original stories from the most creative minds in TV and film. Watch now on the Apple TV app: https://apple.co/_AppleTVapp​  #BillieEilish​ #TheWorldsALittleBlurry​ #Documentary",Music
ZSy-paWVJxY,Os Barões da Pisadinha - Meia Noite (Ce Tem Meu Whatsapp) (Ao Vivo),2021-01-22 14:00:10+00:00,UCqNSlyRZyMjVBHJ_Iqr5VGg,BaroesPisadinhaVEVO,2021-01-31 00:00:00+00:00,6463910,109501,1770,2721,"Vídeo Oficial de Meia Noite (Cê Tem Meu Whatsapp) de Os Barões da Pisadinha.Ouça nos apps de música: https://smb.lnk.to/EsquemaPreferidoAoVivoSe inscreva no nosso canal no YouTube: https://SME.lnk.to/BaroesnoYTLETRA:Cê vai deixar a porta abertaPara o nosso encontro?Meia-noite estou aí em pontoDaquele jeito, pra gente se amarFaz tempo que tô te olhando e te desejandoE você sabe, fica disfarçandoPro seu marido não notarEu sei, você tava carente, pois já me falouMas na verdade fui eu quem gostouQuando a gente fez amorCê tem meu WhatsAppQuando der vontadeSe sentir saudadeSe sentir carenteOu lembrar da genteMe chama que eu vouE no sofá da salaNa rede armadaDentro do banheiroEmbaixo do chuveiroOu na sua camaA gente faz amorCê vai deixar a porta abertaPara o nosso encontro?Meia-noite estou aí em pontoDaquele jeito, pra gente se amarFaz tempo que eu tô te olhando e te desejandoE você sabe, fica disfarçandoPro seu marido não notar…Produção Musical: Felipe BarãoSiga Os Barões da Pisadinha nas redes sociais: https://www.facebook.com/osbaroesdapisadinhaofficialhttps://www.instagram.com/osbaroesdapisadinhaoficial/https://twitter.com/osbaroesofc#OsBarõesDaPisadinha #CêTemMeuWhatsapp #DaRoçaPraCidade",Music
QdEg376t0VI,SÃO PAULO 4X3 LANÚS - ANÁLISE E NOTAS,2020-11-05 01:20:02+00:00,UC0GUaQ6lVzvu0FWklbsKFhg,BAROLO VÍDEOS,2020-11-11 00:00:00+00:00,279427,31874,474,4341,FOOTBALL TEAM: https://br.footballteamgame.com/join/p/bar0loo SOU CANDIDATO A VEREADOR PPR SÃO PAULODIA 15 VOTE: BAROLO - 51633Contato Barolo: rbarolo@hotmail.com FACE E INSTA : barolovideos TWITTER: @rbarolo @blogdobarolo CANAL BOTEKO DO BAROLO:https://www.youtube.com/channel/UCukVuQspRmzLqHk-7lxltUQCANAL RESENHA TRICOLOR: https://www.youtube.com/channel/UCOgL... PRODUTOS DO CANAL:https://www.qestilos.com.br/search/?q... Facebook: CellosOficial Qestilos Instagram: QestilosCelebridades oficiais Sites oficiais: www.usecellos.com.br www.qestilos.com.br,Sports
8vVc8Celyso,ALEXA,2021-08-06 22:04:14+00:00,UCCoDqrBGLRIM8Ih8RApfk2A,EMI,2021-08-16 00:00:00+00:00,392385,43867,149,1232,Vídeo original por @islamsousa ❀  PERSIGA-ME! ❀  ✿Minhas redes: https://bit.ly/36Cwklm,Entertainment
